model,speed_rpm,feed_mm_tooth,depth_mm,life_min,event
Ridge,1812.5,0.05,2.5,44.09617392036458,1
Ridge,1812.5,0.05,2.75,43.54963831703673,1
Ridge,1812.5,0.05,3.0,43.04694500063825,1
Ridge,1812.5,0.05,3.25,42.58138493352603,1
Ridge,1812.5,0.05,3.5,42.14770269480169,1
Ridge,1812.5,0.05125,2.5,39.552194697966904,1
Ridge,1812.5,0.05125,2.75,39.02856978428439,1
Ridge,1812.5,0.05125,3.0,38.547599187553345,1
Ridge,1812.5,0.05125,3.25,38.102665113972684,1
Ridge,1812.5,0.05125,3.5,37.688859198545494,1
Ridge,1812.5,0.0525,2.5,35.69078280525675,1
Ridge,1812.5,0.0525,2.75,35.18974087738306,1
Ridge,1812.5,0.0525,3.0,34.730083041553925,1
Ridge,1812.5,0.0525,3.25,34.30530171777921,1
Ridge,1812.5,0.0525,3.5,33.91051242364864,1
Ridge,1812.5,0.05375,2.5,32.366308166696086,1
Ridge,1812.5,0.05375,2.75,31.887091985525135,1
Ridge,1812.5,0.05375,3.0,31.447902125515828,1
Ridge,1812.5,0.05375,3.25,31.042356614752688,1
Ridge,1812.5,0.05375,3.5,30.665772852974833,1
Ridge,1812.5,0.055,2.5,29.47379217779806,1
Ridge,1812.5,0.055,2.75,29.01526333062555,1
Ridge,1812.5,0.055,3.0,28.59525693624222,1
Ridge,1812.5,0.055,3.25,28.20813447167968,1
Ridge,1812.5,0.055,3.5,27.84856400193751,1
Ridge,1825.0,0.045,2.5,67.54685722460087,1
Ridge,1825.0,0.045,2.75,66.97644479162187,1
Ridge,1825.0,0.045,3.0,66.44806236553075,1
Ridge,1825.0,0.045,3.25,65.95544658312099,1
Ridge,1825.0,0.045,3.5,65.49379133817578,1
Ridge,1825.0,0.04625,2.5,58.7361902319471,1
Ridge,1825.0,0.04625,2.75,58.16926739702512,1
Ridge,1825.0,0.04625,3.0,57.645716731425935,1
Ridge,1825.0,0.04625,3.25,57.15890154961429,1
Ridge,1825.0,0.04625,3.5,56.70380756745564,1
Ridge,1825.0,0.0475,2.5,51.75877319245084,1
Ridge,1825.0,0.0475,2.75,51.206352133631064,1
Ridge,1825.0,0.0475,3.0,50.69723677867699,1
Ridge,1825.0,0.0475,3.25,50.224879230827014,1
Ridge,1825.0,0.0475,3.5,49.78407752075054,1
Ridge,1825.0,0.04875,2.5,46.06385067368039,1
Ridge,1825.0,0.04875,2.75,45.530438946315634,1
Ridge,1825.0,0.04875,3.0,45.03961354535171,1
Ridge,1825.0,0.04875,3.25,44.5848453333366,1
Ridge,1825.0,0.04875,3.5,44.161051924819446,1
Ridge,1825.0,0.05,2.5,41.312622088027055,1
Ridge,1825.0,0.05,2.75,40.79973795027692,1
Ridge,1825.0,0.05,3.0,40.328410516480425,1
Ridge,1825.0,0.05,3.25,39.892263749890134,1
Ridge,1825.0,0.05,3.5,39.48645684623916,1
Ridge,1825.0,0.05125,2.5,37.28161986761197,1
Ridge,1825.0,0.05125,2.75,36.78947457049978,1
Ridge,1825.0,0.05125,3.0,36.3376967936879,1
Ridge,1825.0,0.05125,3.25,35.92021376885149,1
Ridge,1825.0,0.05125,3.5,35.5319780875253,1
Ridge,1825.0,0.0525,2.5,33.81567048505024,1
Ridge,1825.0,0.0525,2.75,33.34379561218238,1
Ridge,1825.0,0.0525,3.0,32.911256190619,1
Ridge,1825.0,0.0525,3.25,32.511753304887506,1
Ridge,1825.0,0.0525,3.5,32.14047848174144,1
Ridge,1825.0,0.05375,2.5,30.803068190950906,1
Ridge,1825.0,0.05375,2.75,30.350746684367532,1
Ridge,1825.0,0.05375,3.0,29.936571196650235,1
Ridge,1825.0,0.05375,3.25,29.554179333384585,1
Ridge,1825.0,0.05375,3.5,29.199308069259025,1
Ridge,1825.0,0.055,2.5,28.160633584292462,1
Ridge,1825.0,0.055,2.75,27.72711099916799,1
Ridge,1825.0,0.055,3.0,27.330062643009967,1
Ridge,1825.0,0.055,3.25,26.96426107682819,1
Ridge,1825.0,0.055,3.5,26.62463649098472,1
Ridge,1837.5,0.045,2.5,61.49682164538262,1
Ridge,1837.5,0.045,2.75,60.95148903445967,1
Ridge,1837.5,0.045,3.0,60.447556151840445,1
Ridge,1837.5,0.045,3.25,59.97883416692915,1
Ridge,1837.5,0.045,3.5,59.54040256396506,1
Ridge,1837.5,0.04625,2.5,54.136810337353886,1
Ridge,1837.5,0.04625,2.75,53.6009760116728,1
Ridge,1837.5,0.04625,3.0,53.106829416941444,1
Ridge,1837.5,0.04625,3.25,52.64804976673164,1
Ridge,1837.5,0.04625,3.5,52.219842696360395,1
Ridge,1837.5,0.0475,2.5,48.14984120679801,1
Ridge,1837.5,0.0475,2.75,47.62952345161075,1
Ridge,1837.5,0.0475,3.0,47.15048352280643,1
Ridge,1837.5,0.0475,3.25,46.706595189325206,1
Ridge,1837.5,0.0475,3.5,46.29273201055738,1
Ridge,1837.5,0.04875,2.5,43.16790899408949,1
Ridge,1837.5,0.04875,2.75,42.665626601577166,1
Ridge,1837.5,0.04875,3.0,42.20393761794939,1
Ridge,1837.5,0.04875,3.25,41.77653013620725,1
Ridge,1837.5,0.04875,3.5,41.37839726151686,1
Ridge,1837.5,0.05,2.5,38.94974428634153,1
Ridge,1837.5,0.05,2.75,38.466380342327746,1
Ridge,1837.5,0.05,3.0,38.022530063898486,1
Ridge,1837.5,0.05,3.25,37.61196933218197,1
Ridge,1837.5,0.05,3.5,37.2303004687573,1
Ridge,1837.5,0.05125,2.5,35.32879393300134,1
Ridge,1837.5,0.05125,2.75,34.864237518018484,1
Ridge,1837.5,0.05125,3.0,34.438260687789764,1
Ridge,1837.5,0.05125,3.25,34.044582075630984,1
Ridge,1837.5,0.05125,3.5,33.678708724764206,1
Ridge,1837.5,0.0525,2.5,32.185780971320604,1
Ridge,1837.5,0.0525,2.75,31.739704486262674,1
Ridge,1837.5,0.0525,3.0,31.330733452692517,1
Ridge,1837.5,0.0525,3.25,30.953427862224675,1
Ridge,1837.5,0.0525,3.5,30.602748084234047,1
Ridge,1837.5,0.05375,2.5,29.431947224061606,1
Ridge,1837.5,0.05375,2.75,29.003583821394447,1
Ridge,1837.5,0.05375,3.0,28.611185181068905,1
Ridge,1837.5,0.05375,3.25,28.249411209434303,1
Ridge,1837.5,0.05375,3.5,27.913526958765665,1
Ridge,1837.5,0.055,2.5,27.00003882772936,1
Ridge,1837.5,0.055,2.75,26.58848184255108,1
Ridge,1837.5,0.055,3.0,26.212147163315688,1
Ridge,1837.5,0.055,3.25,25.864968870341418,1
Ridge,1837.5,0.055,3.5,25.543035251629128,1
Ridge,1850.0,0.045,2.5,56.687833345269105,1
Ridge,1850.0,0.045,2.75,56.16874073575377,1
Ridge,1850.0,0.045,3.0,55.68985565760838,1
Ridge,1850.0,0.045,3.25,55.24513918615667,1
Ridge,1850.0,0.045,3.5,54.82971181059924,1
